elapsed_seconds,nvidia_timestamp,gpu_uuid,sm_clock_mhz,memory_clock_mhz,temperature_c,power_draw_w,power_limit_w,gpu_utilization_percent,memory_used_mib,memory_total_mib
212.46169349999764,2026/09/10 17:16:35.464,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,77,449.88,450.00,100,1604,24564
217.50974339999811,2026/09/10 17:16:40.512,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,77,450.11,450.00,100,1604,24564
222.568500399997,2026/09/10 17:16:45.571,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,77,448.43,450.00,100,1604,24564
227.6272504999979,2026/09/10 17:16:50.630,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,77,448.45,450.00,100,1604,24564
232.68663699999888,2026/09/10 17:16:55.689,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,77,449.84,450.00,100,1604,24564
237.73365659999763,2026/09/10 17:17:00.736,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,77,450.42,450.00,100,1604,24564
242.77984619999916,2026/09/10 17:17:05.782,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,448.61,450.00,100,1625,24564
247.84186909999698,2026/09/10 17:17:10.843,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,77,449.65,450.00,100,1648,24564
252.89161740000054,2026/09/10 17:17:15.893,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2520,10251,76,449.21,450.00,100,1643,24564
257.95592269999906,2026/09/10 17:17:20.958,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,77,449.66,450.00,100,1625,24564
263.0165089999973,2026/09/10 17:17:26.018,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,77,449.62,450.00,100,1620,24564
268.0664090999999,2026/09/10 17:17:31.068,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,449.35,450.00,100,1620,24564
273.1185793000004,2026/09/10 17:17:36.119,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,77,449.80,450.00,100,1684,24564
278.16854839999723,2026/09/10 17:17:41.169,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,77,448.93,450.00,100,1684,24564
283.2260489,2026/09/10 17:17:46.227,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,77,450.05,450.00,100,1712,24564
288.28376019999996,2026/09/10 17:17:51.285,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,449.14,450.00,100,1679,24564
293.3315690999989,2026/09/10 17:17:56.333,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,449.70,450.00,100,1585,24564
298.3907612999974,2026/09/10 17:18:01.392,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2535,10251,76,449.16,450.00,100,1614,24564
303.4310661999989,2026/09/10 17:18:06.433,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,450.46,450.00,100,1563,24564
308.4733983999977,2026/09/10 17:18:11.474,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,450.01,450.00,100,1561,24564
313.53620779999983,2026/09/10 17:18:16.535,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2565,10251,76,448.83,450.00,99,1649,24564
318.6004826999997,2026/09/10 17:18:21.601,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,449.11,450.00,100,1659,24564
323.65371569999843,2026/09/10 17:18:26.655,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,449.48,450.00,100,1579,24564
328.71337049999784,2026/09/10 17:18:31.714,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,448.53,450.00,100,1660,24564
333.76145689999976,2026/09/10 17:18:36.761,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,450.37,450.00,100,1660,24564
338.8006404999978,2026/09/10 17:18:41.800,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,450.39,450.00,100,1660,24564
343.85577269999703,2026/09/10 17:18:46.856,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,450.27,450.00,100,1660,24564
348.90048229999957,2026/09/10 17:18:51.901,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,450.31,450.00,100,1660,24564
353.94184379999933,2026/09/10 17:18:56.942,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,448.42,450.00,100,1660,24564
358.9952818999991,2026/09/10 17:19:01.995,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,450.39,450.00,100,1660,24564
364.04879749999964,2026/09/10 17:19:07.049,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,450.19,450.00,100,1627,24564
369.09829790000003,2026/09/10 17:19:12.098,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,448.50,450.00,100,1627,24564
374.14628679999805,2026/09/10 17:19:17.146,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,75,448.06,450.00,100,1627,24564
379.1939299000005,2026/09/10 17:19:22.194,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,450.46,450.00,100,1627,24564
384.24198239999896,2026/09/10 17:19:27.242,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,449.74,450.00,100,1627,24564
389.2896187999977,2026/09/10 17:19:32.289,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,449.17,450.00,100,1627,24564
394.33832450000045,2026/09/10 17:19:37.338,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,448.72,450.00,100,1627,24564
399.3866328999975,2026/09/10 17:19:42.386,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,448.66,450.00,100,1627,24564
404.43452219999745,2026/09/10 17:19:47.434,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,449.38,450.00,100,1627,24564
409.4883173999988,2026/09/10 17:19:52.488,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,450.41,450.00,100,1627,24564
414.5365157999986,2026/09/10 17:19:57.536,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,449.95,450.00,100,1627,24564
419.5855419999971,2026/09/10 17:20:02.584,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,75,448.05,450.00,100,1627,24564
424.6327060000003,2026/09/10 17:20:07.632,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,448.43,450.00,100,1627,24564
429.68147709999903,2026/09/10 17:20:12.680,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,450.31,450.00,100,1627,24564
